Registered cvars:
       name                     value                    plugin          
 [  1] debug_level              0                        auto_team_balan 
 [  2] tb_balance_by_playersnu  1                        auto_team_balan 
 [  3] tb_balance_by_skill      0                        auto_team_balan 
 [  4] tb_no_rounds             1                        auto_team_balan 
 [  5] tb_forced_respawn_delay  0.0                      auto_team_balan 
 [  6] tb_immunity_flags        a                        auto_team_balan 
 [  7] tb_select_team_menu_typ  1                        auto_team_balan 
 [  8] tb_max_players_num_diff  1                        auto_team_balan 
 [  9] tb_skill_score_diff      5                        auto_team_balan 
 [ 10] tb_skill_skip_times      5                        auto_team_balan 
 [ 11] tb_skill_min_players     10                       auto_team_balan 
 [ 12] tb_immunity_skip_times   12                       auto_team_balan 
 [ 13] tb_changeteam_block_tim  0                        auto_team_balan 
 [ 14] ai_update_configs        0                        all_inclusive.a 
 [ 15] ai_main_admin_flags      m                        all_inclusive.a 
 [ 16] ai_admin_high_flags      n                        all_inclusive.a 
 [ 17] ai_admin_flags           d                        all_inclusive.a 
 [ 18] ai_vip_flags             t                        all_inclusive.a 
 [ 19] ai_vip_high_flags        p                        all_inclusive.a 
 [ 20] ai_immunity_flags        a                        all_inclusive.a 
 [ 21] ai_data_storage_time     2592000                  all_inclusive.a 
 [ 22] ai_max_money             1000000                  all_inclusive.a 
 [ 23] ai_max_hp                1000                     all_inclusive.a 
 [ 24] ai_max_damage_percent    500                      all_inclusive.a 
 [ 25] ai_kill_player_award     400                      all_inclusive.a 
 [ 26] ai_knife_kill_award_per  -1                       all_inclusive.a 
 [ 27] ai_block_drop_weapon     1                        all_inclusive.a 
 [ 28] ai_save_weapon_state     1                        all_inclusive.a 
 [ 29] ai_spectate_limit        120                      all_inclusive.a 
 [ 30] ai_vip_spectate_limit    300                      all_inclusive.a 
 [ 31] ai_admin_spectate_limit  900                      all_inclusive.a 
 [ 32] afk_immun_idle_time      1200                     all_inclusive.a 
 [ 33] afk_idle_time            120                      all_inclusive.a 
 [ 34] afk_check_spectators_li  32                       all_inclusive.a 
 [ 35] ad_chat_enabled          1                        all_inclusive.a 
 [ 36] ad_chat_delay_min        10                       all_inclusive.a 
 [ 37] ad_chat_delay_max        15                       all_inclusive.a 
 [ 38] ad_dhud_enabled          1                        all_inclusive.a 
